Coordenada UTM X;Coordenada UTM Y;Nivel de Tensión (kV);Comunidad Autónoma;Nombre Subestación;Provincia;Municipio
535771,67;4074262,07;66;01 - Andalucía;AGUADULC;Almería;Roquetas de Mar
535771,67;4074262,07;20;01 - Andalucía;AGUADULC;Almería;Roquetas de Mar
575906,01;4135997,4;66;01 - Andalucía;ALBOX;Almería;Albox
575906,01;4135997,4;25;01 - Andalucía;ALBOX;Almería;Albox
503257,52;4091485,03;66;01 - Andalucía;ALCOLEA;Almería;Alcolea
503257,52;4091485,03;20;01 - Andalucía;ALCOLEA;Almería;Alcolea
550658,46;4077243,59;132;01 - Andalucía;ANDARAX;Almería;Almería
550658,46;4077243,59;66;01 - Andalucía;ANDARAX;Almería;Almería
550658,46;4077243,59;20;01 - Andalucía;ANDARAX;Almería;Almería
546841,66;4078401,93;66;01 - Andalucía;BELEN;Almería;Almería
546841,66;4078401,93;20;01 - Andalucía;BELEN;Almería;Almería
547587,76;4084860,19;132;01 - Andalucía;BENAHADU;Almería;Benahadux
547587,76;4084860,19;66;01 - Andalucía;BENAHADU;Almería;Benahadux
547587,76;4084860,19;20;01 - Andalucía;BENAHADU;Almería;Benahadux
506827,46;4076325,54;66;01 - Andalucía;BERJA;Almería;Berja
506827,46;4076325,54;20;01 - Andalucía;BERJA;Almería;Berja
567252,5;4135903,71;66;01 - Andalucía;CANTORIA;Almería;Cantoria
597120,19;4092843,61;132;01 - Andalucía;CARBONER;Almería;Carboneras
597120,19;4092843,61;20;01 - Andalucía;CARBONER;Almería;Carboneras
528430,08;4072234,8;66;01 - Andalucía;COSARIO;Almería;Mojonera, La
528430,08;4072234,8;20;01 - Andalucía;COSARIO;Almería;Mojonera, La
521012,47;4064606,76;66;01 - Andalucía;CUMBRES;Almería;Ejido, El
521012,47;4064606,76;20;01 - Andalucía;CUMBRES;Almería;Ejido, El
551301,31;4074626,68;66;01 - Andalucía;DESALADO;Almería;Almería
514561,93;4070051,68;66;01 - Andalucía;EJIDO;Almería;Ejido, El
